Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
94,Washington,Pac-12,13,0,1.000,10,0,1.000,37.7,23.6,18.35,5.66,2,10,2,
95,Oregon,Pac-12,11,2,.846,8,2,.800,44.2,17.3,19.10,3.02,8,15,5,
96,Arizona,Pac-12,9,3,.750,7,2,.778,34.3,20.8,12.56,1.39,14,,14,
97,Oregon State,Pac-12,8,4,.667,5,4,.556,33.8,21.5,10.91,3.49,21,18,10,
98,Utah,Pac-12,8,4,.667,5,4,.556,24.5,19.8,7.83,4.50,,14,10,
99,USC,Pac-12,7,5,.583,5,4,.556,41.8,34.9,8.29,5.04,,6,5,
100,UCLA,Pac-12,7,5,.583,4,5,.444,25.8,18.1,5.47,0.97,,,18,
101,California,Pac-12,6,6,.500,4,5,.444,31.6,32.7,3.24,3.74,,,,
102,Washington State,Pac-12,5,7,.417,2,7,.222,31.7,28.1,4.29,3.46,,,13,
103,Arizona State,Pac-12,3,9,.250,2,7,.222,17.8,31.8,-4.25,5.42,,,,
104,Stanford,Pac-12,3,9,.250,2,7,.222,20.6,37.7,-4.90,5.77,,,,
105,Colorado,Pac-12,4,8,.333,1,8,.111,28.2,34.8,0.86,5.11,,,18,
106,Georgia,SEC (East),12,1,.923,8,1,.889,38.4,16.6,18.04,1.81,6,1,1,
107,Missouri,SEC (East),10,2,.833,6,2,.750,34.1,22.3,14.76,3.34,9,,9,
108,Tennessee,SEC (East),8,4,.667,4,4,.500,31.5,22.0,8.72,2.64,25,12,9,
109,Kentucky,SEC (East),7,5,.583,3,5,.375,28.6,24.8,5.17,1.51,,,20,
110,Florida,SEC (East),5,7,.417,3,5,.375,28.4,27.6,3.06,4.06,,,22,
111,South Carolina,SEC (East),5,7,.417,3,5,.375,26.0,26.3,2.13,4.13,,,,
112,Vanderbilt,SEC (East),2,10,.167,0,8,.000,22.8,36.2,-9.62,3.30,,,,
113,Alabama,SEC (West),12,1,.923,9,0,1.000,35.1,18.4,17.92,4.92,5,4,3,
114,Ole Miss,SEC (West),10,2,.833,6,2,.750,34.8,22.3,12.13,2.71,11,22,10,
115,LSU,SEC (West),9,3,.750,6,2,.750,46.4,27.8,14.77,4.43,13,5,5,
116,Texas A&M,SEC (West),7,5,.583,4,4,.500,34.2,21.3,9.86,2.36,,23,23,
117,Auburn,SEC (West),6,6,.500,3,5,.375,27.3,21.9,5.22,3.06,,,,
118,Mississippi State,SEC (West),5,7,.417,1,7,.125,21.8,26.6,-0.74,3.51,,,,
119,Arkansas,SEC (West),4,8,.333,1,7,.125,26.6,27.9,0.23,1.73,,,,
120,James Madison,Sun Belt (East),11,1,.917,7,1,.875,35.2,18.5,10.18,-3.16,24,,18,
121,Appalachian State,Sun Belt (East),8,5,.615,6,3,.667,34.8,28.4,3.21,-2.79,,,,
122,Coastal Carolina,Sun Belt (East),7,5,.583,5,3,.625,28.0,24.7,0.17,-2.00,,,,
123,Old Dominion,Sun Belt (East),6,6,.500,5,3,.625,22.9,26.3,-3.77,-1.36,,,,
124,Georgia Southern,Sun Belt (East),6,6,.500,3,5,.375,30.9,29.6,-4.37,-3.95,,,,
125,Georgia State,Sun Belt (East),6,6,.500,3,5,.375,25.8,30.8,-4.43,-1.43,,,,
126,Marshall,Sun Belt (East),6,6,.500,3,5,.375,23.3,28.2,-4.92,-1.17,,,,
127,Troy,Sun Belt (West),11,2,.846,8,1,.889,31.2,17.2,11.08,-1.77,,,,
128,Texas State,Sun Belt (West),7,5,.583,4,4,.500,36.0,33.8,-1.77,-4.43,,,,
129,Arkansas State,Sun Belt (West),6,6,.500,4,4,.500,27.8,31.2,-1.51,-2.01,,,,
130,South Alabama,Sun Belt (West),6,6,.500,4,4,.500,30.9,21.9,1.39,-2.52,,,,
131,Louisiana,Sun Belt (West),6,6,.500,3,5,.375,32.3,28.2,-2.04,-5.04,,,,
132,Southern Mississippi,Sun Belt (West),3,9,.250,2,6,.250,23.2,35.8,-8.08,-0.17,,,,
133,Louisiana-Monroe,Sun Belt (West),2,10,.167,0,8,.000,17.3,34.9,-13.11,-0.27,,,,
